[2026-06-09 18:01:39] GET /api/filters - Total: 5.47ms, DB Conn: 1.27ms, DB Query: 0.60ms
[2026-06-09 18:01:39] GET /api/report-metadata - Total: 5.02ms, DB Conn: 1.01ms, DB Query: 0.46ms
[2026-06-09 18:01:39] GET /api/metrics/charts - Total: 6.70ms, DB Conn: 1.29ms, DB Query: 3.10ms
[2026-06-09 18:01:39] GET /api/filters - Total: 2.69ms, DB Conn: 0.95ms, DB Query: 0.48ms
[2026-06-09 18:01:39] GET /api/report-metadata - Total: 3.13ms, DB Conn: 0.83ms, DB Query: 0.38ms
[2026-06-09 18:01:39] GET /api/metrics/summary - Total: 3.46ms, DB Conn: 0.82ms, DB Query: 0.77ms
[2026-06-09 18:01:39] GET /api/metrics/table - Total: 4.05ms, DB Conn: 0.84ms, DB Query: 0.76ms
[2026-06-09 18:01:39] GET /api/metrics/charts - Total: 6.05ms, DB Conn: 0.77ms, DB Query: 3.00ms
[2026-06-09 18:03:43] GET /api/filters - Total: 3.98ms, DB Conn: 0.93ms, DB Query: 0.74ms
[2026-06-09 18:03:43] GET /api/report-metadata - Total: 3.71ms, DB Conn: 1.13ms, DB Query: 0.65ms
[2026-06-09 18:03:43] GET /api/metrics/summary - Total: 4.24ms, DB Conn: 1.21ms, DB Query: 0.91ms
[2026-06-09 18:03:43] GET /api/metrics/charts - Total: 7.17ms, DB Conn: 1.12ms, DB Query: 2.92ms
[2026-06-09 18:03:43] GET /api/metrics/table - Total: 7.28ms, DB Conn: 0.76ms, DB Query: 0.92ms
[2026-06-09 18:03:43] GET /api/report-metadata - Total: 3.72ms, DB Conn: 0.87ms, DB Query: 0.38ms
[2026-06-09 18:03:43] GET /api/metrics/summary - Total: 3.90ms, DB Conn: 0.96ms, DB Query: 0.86ms
[2026-06-09 18:03:43] GET /api/filters - Total: 3.20ms, DB Conn: 0.97ms, DB Query: 0.54ms
[2026-06-09 18:03:43] GET /api/metrics/charts - Total: 6.81ms, DB Conn: 1.07ms, DB Query: 3.45ms
[2026-06-09 18:03:43] GET /api/metrics/table - Total: 4.08ms, DB Conn: 0.83ms, DB Query: 0.67ms
[2026-06-09 18:04:20] GET /api/metrics/summary - Total: 7.73ms, DB Conn: 1.26ms, DB Query: 0.99ms
[2026-06-09 18:04:20] GET /api/filters - Total: 8.07ms, DB Conn: 0.84ms, DB Query: 1.28ms
[2026-06-09 18:04:20] GET /api/metrics/table - Total: 7.69ms, DB Conn: 1.12ms, DB Query: 0.97ms
[2026-06-09 18:04:20] GET /api/metrics/charts - Total: 10.57ms, DB Conn: 1.17ms, DB Query: 3.55ms
[2026-06-09 18:04:20] GET /api/report-metadata - Total: 10.84ms, DB Conn: 0.76ms, DB Query: 0.36ms
[2026-06-09 18:04:20] GET /api/filters - Total: 4.18ms, DB Conn: 1.14ms, DB Query: 0.69ms
[2026-06-09 18:04:20] GET /api/metrics/table - Total: 4.35ms, DB Conn: 1.00ms, DB Query: 0.89ms
[2026-06-09 18:04:20] GET /api/metrics/summary - Total: 4.27ms, DB Conn: 0.95ms, DB Query: 0.83ms
[2026-06-09 18:04:20] GET /api/metrics/charts - Total: 7.47ms, DB Conn: 0.76ms, DB Query: 3.25ms
[2026-06-09 18:04:20] GET /api/report-metadata - Total: 4.30ms, DB Conn: 1.00ms, DB Query: 0.34ms
[2026-06-09 18:05:27] GET /api/metrics/summary - Total: 3.07ms, DB Conn: 0.95ms, DB Query: 0.86ms
[2026-06-09 18:05:27] GET /api/report-metadata - Total: 2.53ms, DB Conn: 0.87ms, DB Query: 0.66ms
[2026-06-09 18:05:27] GET /api/filters - Total: 3.37ms, DB Conn: 0.83ms, DB Query: 0.44ms
[2026-06-09 18:05:27] GET /api/metrics/charts - Total: 4.90ms, DB Conn: 1.08ms, DB Query: 3.08ms
[2026-06-09 18:05:27] GET /api/metrics/table - Total: 4.02ms, DB Conn: 0.99ms, DB Query: 0.94ms
[2026-06-09 18:05:27] GET /api/filters - Total: 1.82ms, DB Conn: 0.89ms, DB Query: 0.50ms
[2026-06-09 18:05:27] GET /api/metrics/summary - Total: 1.79ms, DB Conn: 0.74ms, DB Query: 0.70ms
[2026-06-09 18:05:27] GET /api/report-metadata - Total: 1.72ms, DB Conn: 0.88ms, DB Query: 0.40ms
[2026-06-09 18:05:27] GET /api/metrics/charts - Total: 4.99ms, DB Conn: 0.97ms, DB Query: 3.00ms
[2026-06-09 18:05:27] GET /api/metrics/table - Total: 3.84ms, DB Conn: 0.83ms, DB Query: 0.66ms
[2026-06-09 18:12:19] GET /api/report-metadata - Total: 4.77ms, DB Conn: 2.15ms, DB Query: 0.37ms
[2026-06-09 18:12:19] GET /api/metrics/summary - Total: 4.93ms, DB Conn: 2.20ms, DB Query: 1.01ms
[2026-06-09 18:12:19] GET /api/filters - Total: 4.31ms, DB Conn: 2.35ms, DB Query: 0.69ms
[2026-06-09 18:12:19] GET /api/metrics/table - Total: 3.54ms, DB Conn: 1.27ms, DB Query: 0.75ms
[2026-06-09 18:12:19] GET /api/metrics/charts - Total: 7.62ms, DB Conn: 2.13ms, DB Query: 3.07ms
[2026-06-09 18:12:19] GET /api/metrics/table - Total: 2.87ms, DB Conn: 0.80ms, DB Query: 0.73ms
[2026-06-09 18:12:19] GET /api/filters - Total: 2.57ms, DB Conn: 1.06ms, DB Query: 0.48ms
[2026-06-09 18:12:19] GET /api/metrics/summary - Total: 2.83ms, DB Conn: 0.90ms, DB Query: 0.72ms
[2026-06-09 18:12:19] GET /api/report-metadata - Total: 2.40ms, DB Conn: 0.83ms, DB Query: 0.35ms
[2026-06-09 18:12:19] GET /api/metrics/charts - Total: 5.38ms, DB Conn: 0.80ms, DB Query: 2.85ms
[2026-06-09 18:12:20] GET /api/report-metadata - Total: 2.42ms, DB Conn: 0.76ms, DB Query: 0.38ms
[2026-06-09 18:12:20] GET /api/filters - Total: 2.51ms, DB Conn: 0.99ms, DB Query: 0.46ms
[2026-06-09 18:12:20] GET /api/metrics/table - Total: 2.82ms, DB Conn: 0.79ms, DB Query: 0.72ms
[2026-06-09 18:12:20] GET /api/metrics/summary - Total: 2.77ms, DB Conn: 1.22ms, DB Query: 0.68ms
[2026-06-09 18:12:20] GET /api/metrics/charts - Total: 5.15ms, DB Conn: 0.82ms, DB Query: 2.76ms
[2026-06-09 18:12:20] GET /api/filters - Total: 2.76ms, DB Conn: 0.78ms, DB Query: 0.54ms
